Material_ID,Formula,element_A,element_Aprime,element_B,element_Bprime,Formation_Energy_eV_atom,Energy_Above_Hull_eV,Band_Gap_eV,Total_Magnetization_uB,Volume_A3,Density_g_cm3,Space_Group_Symbol,Space_Group_Number,EN_A,EN_Aprime,EN_B,EN_Bprime,EN_O,EN_avg,Shannon_A,Shannon_Aprime,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Val_A,Val_Aprime,Val_B,Val_Bprime,Val_avg,Total_A_Charge,Group_B,Group_Bprime,Sum_Ox_B_Bprime,Ox_B,Ox_Bprime,d_electrons_B,d_electrons_Bprime,Total_d_electrons,Spin_Proxy_Distance,HS_moment_B,HS_moment_Bprime,Total_HS_FM,Total_HS_FiM,d_AO,d_BO,d_BprimeO,d_avg,E_GNN,M_net,M_abs
mp-1084762,MnRe(PbO3)2,Pb,Pb,Mn,Re,-1.8002045410431038,0.061807520816963724,0.17579999999999973,3.9893583,135.88578412860775,9.183918239408825,Fm-3m,225,1.8,1.8,1.55,1.9,3.44,1.725,1.19,1.19,0.67,0.63,0.893369055255199,0.06153846153846159,2,2,7,7,7.0,4,7,7,8,4.0,4.0,3.0,3.0,6.0,1.0,3.0,3.0,6.0,0.0,2.59,2.07,2.03,2.05,-1.8104288545717275,3.9893583,6.0
mp-1084823,Sr2CrSbO6,Sr,Sr,Cr,Sb,-2.6735308439999996,0.0,1.6894,3.0020521,127.78675562107807,5.782504047739504,C2/m,12,0.95,0.95,1.66,2.05,3.44,1.855,1.18,1.18,0.73,0.76,0.850506058490113,0.040268456375838965,2,2,6,5,5.5,4,6,15,8,1.75,6.25,4.25,8.75,13.0,8.0,4.25,1.25,5.5,3.0,2.58,2.13,2.16,2.145,-2.6933229404051713,3.0020521,5.5
mp-1084840,TiZn(BiO3)2,Bi,Bi,Ti,Zn,-2.210799909333334,0.044704705499998276,1.3495,0.0005948,146.0296383743298,7.1324235649603756,Cm,8,1.9,1.9,1.54,1.65,3.44,1.595,1.03,1.03,0.86,0.74,0.7810315810378682,0.15,3,3,4,12,8.0,6,4,12,6,1.0,5.0,3.0,7.0,10.0,5.0,3.0,3.0,6.0,0.0,2.4299999999999997,2.26,2.1399999999999997,2.1999999999999997,-2.2133156477353273,0.0005948,6.0
mp-1086666,Sr2TaInO6,Sr,Sr,Ta,In,-3.089794027400001,0.009728911499998993,3.9307999999999996,1.7e-06,138.28136732462005,6.808794679448357,I4/m,87,0.95,0.95,1.5,1.78,3.44,1.6400000000000001,1.18,1.18,0.72,0.8,0.8445997664172651,0.10526315789473693,2,2,5,3,4.0,4,5,13,8,2.0,6.0,3.0,7.0,10.0,5.0,3.0,3.0,6.0,0.0,2.58,2.12,2.2,2.16,-3.088679529154227,1.7e-06,6.0
mp-1087477,La2TcNiO6,La,La,Tc,Ni,-2.6543959835,0.09219494600000111,0.0,5.0011018,124.44966065273233,7.078502265418832,Fm-3m,225,1.1,1.1,2.1,1.91,3.44,2.005,1.032,1.032,0.645,0.69,0.8317696212071021,0.06741573033707855,3,3,7,10,8.5,6,7,10,6,2.25,3.75,4.75,6.25,11.0,6.0,4.75,3.75,8.5,1.0,2.432,2.045,2.09,2.0675,-2.6325121531305813,5.0011018,8.5
mp-1091394,Ba2NaIO6,Ba,Ba,Na,I,-2.207977574637931,0.0,2.2417000000000002,0.0,151.69989003431616,5.697991675839547,Fm-3m,225,0.89,0.89,0.93,2.66,3.44,1.7950000000000002,1.35,1.35,1.02,2.2,0.6460277901205999,0.7329192546583851,2,2,4,4,4.0,4,4,4,8,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.75,2.42,3.6,3.01,-2.2418268672322275,0.0,0.0
mp-1094048,Sr2TiFeO6,Sr,Sr,Ti,Fe,-2.8652957903333336,0.022026803999999345,0.0,4.2093294,122.45114472680666,5.084611241635392,Fm-3m,225,0.95,0.95,1.54,1.83,3.44,1.685,1.18,1.18,0.86,0.61,0.8544896934244931,0.3401360544217687,2,2,4,8,6.0,4,4,8,8,3.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,2.58,2.26,2.01,2.135,-2.8347047839441215,4.2093294,4.2093294
mp-1094054,Sr2FeCoO6,Sr,Sr,Fe,Co,-2.0912329430000005,0.020168378677417387,0.0,7.1284189,116.5350901467221,5.500423223286626,Fm-3m,225,0.95,0.95,1.83,1.88,3.44,1.855,1.18,1.18,0.61,0.65,0.8986874361878289,0.06349206349206354,2,2,8,9,8.5,4,8,9,8,3.75,4.25,4.25,4.75,9.0,4.0,4.25,4.75,9.0,0.5,2.58,2.01,2.05,2.03,-2.09439310097158,7.1284189,9.0
mp-1095039,Sr2HfCrO6,Sr,Sr,Hf,Cr,-3.1953168169999984,0.0330160284687544,0.0,0.0092995,256.6038839521195,6.49350898493548,Fm-3m,225,0.95,0.95,1.3,1.66,3.44,1.48,1.18,1.18,0.71,0.73,0.8605356110666473,0.027777777777777804,2,2,4,6,5.0,4,4,6,8,3.5,4.5,0.5,1.5,2.0,3.0,0.5,1.5,2.0,1.0,2.58,2.11,2.13,2.12,-3.2038544383989467,0.0092995,2.0
mp-1095109,Ba2BiIrO6,Ba,Ba,Bi,Ir,-2.121007113,0.01721253544445034,0.0,2.0000598,158.79333155481876,8.07139326702448,Fm-3m,225,0.89,0.89,1.9,2.2,3.44,2.05,1.35,1.35,1.03,0.68,0.8623253429104237,0.4093567251461988,2,2,5,9,7.0,4,15,9,8,5.5,2.5,9.5,6.5,16.0,11.0,0.5,3.5,4.0,3.0,2.75,2.4299999999999997,2.08,2.255,-2.1412492005052033,2.0000598,4.0
mp-1095110,Ba2SmMoO6,Ba,Ba,Sm,Mo,-3.0179772245,0.0,0.9085000000000001,1.0001613,159.77524517029462,6.411945991344912,I4/m,87,0.89,0.89,1.17,2.16,3.44,1.665,1.35,1.35,0.958,0.69,0.8743451655858838,0.32524271844660196,2,2,4,6,5.0,4,4,6,8,3.5,4.5,0.5,1.5,2.0,3.0,0.5,1.5,2.0,1.0,2.75,2.3579999999999997,2.09,2.2239999999999998,-3.0510743579373156,1.0001613,2.0
mp-1095141,Sr2MnMoO6,Sr,Sr,Mn,Mo,-2.6420366152931045,0.006772907499998482,1.1037000000000003,13.3955097,486.62932072688625,5.761572495722045,I4/m,87,0.95,0.95,1.55,2.16,3.44,1.855,1.18,1.18,0.67,0.69,0.8770843728179291,0.029411764705882217,2,2,7,6,6.5,4,7,6,8,4.25,3.75,2.75,2.25,5.0,0.0,2.75,2.25,5.0,0.5,2.58,2.07,2.09,2.08,-2.6255732036138664,13.3955097,13.3955097
mp-1095170,Sr2FeOsO6,Sr,Sr,Fe,Os,-2.3321121874999995,0.0,0.0,0.0,252.316199809476,6.8090419176124595,Fm-3m,225,0.95,0.95,1.83,2.2,3.44,2.015,1.18,1.18,0.61,0.63,0.9031363838917289,0.03225806451612906,2,2,8,8,8.0,4,8,8,8,4.0,4.0,4.0,4.0,8.0,3.0,4.0,4.0,8.0,0.0,2.58,2.01,2.03,2.0199999999999996,-2.3306458281562312,0.0,8.0
mp-1095155,Sr2NiIrO6,Sr,Sr,Ni,Ir,-2.0763526112500004,0.006143210750011896,0.0,0.0003857,505.0394603855963,6.867147849790354,Fm-3m,225,0.95,0.95,1.91,2.2,3.44,2.055,1.18,1.18,0.69,0.68,0.8749810529790373,0.014598540145985252,2,2,10,9,9.5,4,10,9,8,4.25,3.75,5.75,5.25,11.0,6.0,4.25,4.75,9.0,0.5,2.58,2.09,2.08,2.085,-2.1021518292448214,0.0003857,9.0
mp-1095167,Ba2SrUO6,Ba,Ba,Sr,U,-3.4387189129999998,0.07057371000000146,2.2553,5.48e-05,181.7963314551873,6.360041474225506,Fm-3m,225,0.89,0.89,0.95,1.7,3.44,1.325,1.35,1.35,1.18,1.025,0.7770404188863159,0.14058956916099774,2,2,4,4,4.0,4,4,4,8,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.75,2.58,2.425,2.5025,-3.464620488441272,5.48e-05,5.48e-05
mp-1096783,Ba2VFeO6,Ba,Ba,V,Fe,-2.5688078410000004,0.12466782550001021,0.6837,19.9996996,534.0070098689611,5.93851848940032,P6_3/mmc,194,0.89,0.89,1.63,1.83,3.44,1.73,1.35,1.35,0.79,0.61,0.9259731658395266,0.25714285714285723,2,2,5,8,6.5,4,5,8,8,3.25,4.75,1.75,3.25,5.0,0.0,1.75,3.25,5.0,1.5,2.75,2.19,2.01,2.0999999999999996,-2.5755235349858028,19.9996996,19.9996996
mp-1096782,Ba2VFeO6,Ba,Ba,V,Fe,-2.5926854140000004,0.10079025250001017,1.0391560105899433,4.9977207,129.68639230278544,6.113229085307997,Fm-3m,225,0.89,0.89,1.63,1.83,3.44,1.73,1.35,1.35,0.79,0.61,0.9259731658395266,0.25714285714285723,2,2,5,8,6.5,4,5,8,8,3.25,4.75,1.75,3.25,5.0,0.0,1.75,3.25,5.0,1.5,2.75,2.19,2.01,2.0999999999999996,-2.5593049834942128,4.9977207,5.0
mp-1096778,Ba2VFeO6,Ba,Ba,V,Fe,-0.4214681110000001,2.2720075555000108,0.0,1.0852104,196.15547112349768,4.041705392427774,Fm-3m,225,0.89,0.89,1.63,1.83,3.44,1.73,1.35,1.35,0.79,0.61,0.9259731658395266,0.25714285714285723,2,2,5,8,6.5,4,5,8,8,3.25,4.75,1.75,3.25,5.0,0.0,1.75,3.25,5.0,1.5,2.75,2.19,2.01,2.0999999999999996,-0.4266599380272722,1.0852104,5.0
mp-1096853,Ba2NbFeO6,Ba,Ba,Nb,Fe,0.0499008240000002,2.9454545444999995,0.0,5.3367633,218.31132001810238,3.950720228731488,Fm-3m,225,0.89,0.89,1.6,1.83,3.44,1.715,1.35,1.35,0.72,0.61,0.9416676262774846,0.16541353383458643,2,2,5,8,6.5,4,5,8,8,3.25,4.75,1.75,3.25,5.0,0.0,1.75,3.25,5.0,1.5,2.75,2.12,2.01,2.065,0.019837964937638074,5.3367633,5.3367633
